SITE_ID,UPPER,LOWER,S,SI,C,OC,PHCACL2,HORIZONID,x,y
16PTBO0106,0,32,25.2,56.9,17.8,1.57,7.42,1,726505.9678,4901860.001
16PTBO0106,32,59,28.6,59.4,12,0.246,7.5,2,726505.9678,4901860.001
16PTBO0106,59,120,20.5,75.3,4.2,0.086,7.62,3,726505.9678,4901860.001
16PTBO0107,0,20,56.3,26.9,16.8,1.75,7.28,1,726645.9762,4901912.995
16PTBO0107,20,29,48.2,30.4,21.4,0.601,7.39,2,726645.9762,4901912.995
16PTBO0107,29,100,53,36.3,10.7,0.083,7.65,3,726645.9762,4901912.995
16PTBO0108,0,33,32.7,41.4,25.9,8.68,7.17,1,725244.9795,4902197.981
16PTBO0108,33,100,21.1,44.2,34.7,9.41,7.09,2,725244.9795,4902197.981
16PTBO0111,0,28,56,29.6,14.4,1.87,7.25,1,725601.0277,4902348.016
16PTBO0111,28,38,59.9,27.8,12.3,0.433,7.24,2,725601.0277,4902348.016
16PTBO0111,38,50,64,26,10.1,0.24,7.21,3,725601.0277,4902348.016
16PTBO0111,50,100,56.8,27.7,15.5,0.327,7.27,4,725601.0277,4902348.016
16ptbo0145,0,9,0,0,0,20.8,4.64,1,724174.9857,4903512.001
16ptbo0145,9,27,47.3,36.3,16.3,3.59,6.28,2,724174.9857,4903512.001
16ptbo0145,27,53,38.8,31,30.2,0.581,6.83,4,724174.9857,4903512.001
16ptbo0145,53,100,47.6,39.9,12.5,0.505,7.42,5,724174.9857,4903512.001
16PTBO0462,0,23,38.3,39.4,22.3,3.3,7.33,1,727784.04,4905232.948
16PTBO0462,23,100,57.5,31.2,11.3,0.752,7.62,2,727784.04,4905232.948
DSM006,0,29,58.1,28.8,13.1,4.79,6.4,1,729498.0157,4902377.029
DSM006,29,74,40.5,46.6,12.9,0.088,7.4,2,729498.0157,4902377.029
DSM006,74,100,48.4,38.1,13.5,0.037,7.47,3,729498.0157,4902377.029
DSM011,0,26,50.6,35.2,14.2,1.74,7.16,1,729468.0169,4901697.026
DSM011,26,31,52.6,34.3,13.1,0.382,7.31,2,729468.0169,4901697.026
DSM011,31,44,45.9,28.7,25.4,0.434,7.39,3,729468.0169,4901697.026
DSM011,44,100,47.9,34.2,17.9,0.411,7.57,4,729468.0169,4901697.026
DSM012,0,27,46.4,34.6,19,2.21,7.32,1,723217.9737,4909046.952
DSM012,27,52,50.6,36.2,13.2,0.313,7.45,2,723217.9737,4909046.952
DSM012,52,72,47.4,40.9,11.7,0.005,7.57,3,723217.9737,4909046.952
DSM012,72,105,5.1,76.7,18.2,0.241,7.58,4,723217.9737,4909046.952
DSM013,0,15,45.8,38.3,15.8,1.99,7.35,1,723628.0074,4908686.974
DSM013,15,32,42.9,40.8,16.3,1.21,7.43,2,723628.0074,4908686.974
DSM013,32,100,49.1,37.7,13.1,0.391,7.52,3,723628.0074,4908686.974
DSM031,0,11,32.4,45.9,21.7,5.3,7.13,1,721887.9722,4908987.005
DSM031,11,29,42.4,44.3,13.4,0.029,7.38,2,721887.9722,4908987.005
DSM031,29,88,28.5,55.3,16.3,1.83,7.23,3,721887.9722,4908987.005
DSM031,88,110,33,49.8,17.2,0.803,7.28,4,721887.9722,4908987.005
DSM032,0,20,60.8,31.3,7.8,2.82,6.11,1,729018.0259,4905246.973
DSM032,20,30,62,32.3,5.7,0.517,4.72,2,729018.0259,4905246.973
DSM032,30,40,61.7,31.7,6.7,0.293,6.29,3,729018.0259,4905246.973
DSM032,40,57,52,28.5,19.5,0.376,6.61,4,729018.0259,4905246.973
DSM032,57,102,71.6,20.9,7.5,0.422,7.4,5,729018.0259,4905246.973
DSM040,0,30,41,36.3,22.8,3.49,6.93,1,724098.0072,4909317.04
DSM040,30,50,46.6,39.4,14,0.825,7.59,2,724098.0072,4909317.04
DSM040,50,100,7.5,57.6,34.9,0.134,7.52,3,724098.0072,4909317.04
DSM045,0,50,0,0,0,34,6.43,1,723077.9642,4907086.948
DSM045,50,57,0,0,0,38.6,6.61,2,723077.9642,4907086.948
DSM045,57,62,14.2,54.8,31,10.9,7.42,3,723077.9642,4907086.948
DSM045,62,84,21.9,59.5,18.7,4.2,7.28,4,723077.9642,4907086.948
DSM045,84,125,4.8,64.3,30.9,0.609,7.43,5,723077.9642,4907086.948
DSM047,0,21,55.7,33.6,10.7,2.23,7.33,1,729948.0359,4903286.96
DSM047,21,43,51.8,33.8,14.5,1.53,7.27,2,729948.0359,4903286.96
DSM047,43,100,59.6,29.9,10.5,0.091,7.56,3,729948.0359,4903286.96
DSM050,0,26,38,41.9,20.1,7.46,7.09,1,726347.9966,4901356.996
DSM050,26,39,46.7,37.5,15.8,1.59,7.39,2,726347.9966,4901356.996
DSM050,39,100,54.7,33.8,11.5,0.669,7.65,3,726347.9966,4901356.996
DSM069,0,28,52.1,33.3,14.6,2.08,7.38,1,724547.9748,4909307.011
DSM069,28,100,51.1,34.8,14.1,0.33,7.52,2,724547.9748,4909307.011
DSM083,0,27,48,35.8,16.2,1.84,7.37,1,724517.9931,4909387.052
DSM083,27,100,60.2,30.1,9.8,0.328,7.58,2,724517.9931,4909387.052
DSM115,0,25,35.6,51.9,12.5,2.19,7.34,1,726307.9725,4901656.989
DSM115,25,55,38.4,48.1,13.5,1.17,7.47,2,726307.9725,4901656.989
DSM115,55,100,37.9,51.8,10.4,0.392,7.58,3,726307.9725,4901656.989
DSM116,0,27,0,0,0,41.5,5.75,1,728637.9842,4911187.022
DSM116,27,52,0,0,0,40.4,5.89,2,728637.9842,4911187.022
DSM116,52,220,0,0,0,43.3,5.92,3,728637.9842,4911187.022
DSM120,0,18,58.1,28.8,13.1,3.12,6.97,1,729508.0052,4903217.034
DSM120,18,27,62.7,26.3,11,0.382,6.83,2,729508.0052,4903217.034
DSM120,27,39,49.9,26.3,23.8,0.422,6.93,3,729508.0052,4903217.034
DSM120,39,100,57.2,28.3,14.5,0.511,7.51,4,729508.0052,4903217.034
DSM121,0,32,39.8,43.7,16.5,3.21,7.45,1,722657.9667,4906946.979
DSM121,32,75,52.9,38.2,8.9,0.215,7.61,2,722657.9667,4906946.979
DSM121,75,100,21.4,47.8,30.8,0.246,7.64,3,722657.9667,4906946.979
DSM128,0,30,48,35.8,16.2,2.11,7.44,1,724467.9851,4909226.975
DSM128,30,100,50.2,38.4,11.4,0.005,7.61,2,724467.9851,4909226.975
DSM132,0,31,0,0,0,38.9,6.17,1,728778.0146,4911037.003
DSM132,31,52,0,0,0,37.2,6.13,2,728778.0146,4911037.003
DSM132,52,225,0,0,0,45.5,6.06,3,728778.0146,4911037.003
DSM144,0,15,43.8,42.4,13.8,3.05,6.6,1,728757.9951,4904836.962
DSM144,15,22,45.8,45,9.2,0.889,6.69,2,728757.9951,4904836.962
DSM144,22,29,45.7,44.3,10,0.398,6.73,3,728757.9951,4904836.962
DSM144,29,41,43.2,35.4,21.4,0.619,7.03,4,728757.9951,4904836.962
DSM144,41,100,51.1,36.3,12.7,0.255,7.51,5,728757.9951,4904836.962
PTBO0081,0,30,9.2,45,45.8,5.8,7.04,1,723257.0104,4901941.346
PTBO0081,30,65,25.9,32.7,41.4,2.03,7.29,2,723257.0104,4901941.346
PTBO0081,65,120,20.4,48.5,31,0.372,7.43,3,723257.0104,4901941.346
PTBO0086,0,24,43.7,32.4,23.9,2.18,7.26,1,723476.1344,4901550.366
PTBO0086,24,48,62.9,24.2,12.9,0.005,7.55,2,723476.1344,4901550.366
PTBO0086,48,80,48.9,26.7,24.4,0.114,7.56,3,723476.1344,4901550.366
PTBO0086,80,120,30,35.8,34.2,0.005,7.45,4,723476.1344,4901550.366
PTBO0092,0,22,46.6,32.9,20.5,3.08,7.26,1,724633.4269,4902119.272
PTBO0092,22,45,47,34.8,18.2,1.07,7.43,2,724633.4269,4902119.272
PTBO0092,45,100,46,34.7,19.4,0.889,7.44,3,724633.4269,4902119.272
PTBO0096,0,28,42.6,39.1,18.3,1.72,7.4,1,725500.737,4902035.406
PTBO0096,28,100,45.3,40.4,14.3,0.369,7.57,2,725500.737,4902035.406
PTBO0100,0,22,47.3,34,18.8,3.41,7.14,1,725829.3226,4901641.479
PTBO0100,22,39,44.2,30.4,25.3,0.863,7.36,2,725829.3226,4901641.479
PTBO0100,39,100,52.5,36.1,11.5,0.654,7.56,3,725829.3226,4901641.479
PTBO0101,0,26,47.7,34.6,17.7,1.85,7.36,1,725952.5215,4901971.232
PTBO0101,26,44,46.9,32.9,20.2,0.79,7.45,2,725952.5215,4901971.232
PTBO0101,44,100,52.9,35.3,11.8,0.96,7.53,3,725952.5215,4901971.232
PTBO0116,0,13,54.8,26.8,18.4,1.96,7.42,1,725958.1027,4902497.996
PTBO0116,13,38,54.2,32.9,13,0.25,7.6,2,725958.1027,4902497.996
PTBO0116,38,100,53.2,30.9,15.9,0.103,7.61,3,725958.1027,4902497.996
PTBO0118,0,24,48.3,32.5,19.2,1.95,7.35,1,724288.3823,4902751.672
PTBO0118,24,60,40.5,30.2,29.4,1.01,7.35,2,724288.3823,4902751.672
PTBO0118,60,100,40,29.6,30.4,1.07,7.44,3,724288.3823,4902751.672
PTBO0120,0,22,52.3,33.5,14.2,1.83,7.44,1,724383.8245,4902707.566
PTBO0120,22,100,52.4,32.8,14.8,0.988,7.59,2,724383.8245,4902707.566
PTBO0125,0,22,44.6,39.9,15.5,2.08,7.44,1,724768.7896,4902981.319
PTBO0125,22,45,48.9,36.8,14.2,1.24,7.54,2,724768.7896,4902981.319
PTBO0125,45,100,50.4,38,11.6,0.341,7.64,3,724768.7896,4902981.319
PTBO0126,0,22,50.6,31,18.4,1.74,7.35,1,724067.3754,4903059.268
PTBO0126,22,40,51.5,33.7,14.8,0.693,7.37,2,724067.3754,4903059.268
PTBO0126,40,70,50.2,32.1,17.7,0.484,7.42,3,724067.3754,4903059.268
PTBO0126,70,100,51.7,36.2,12.1,0.611,7.47,4,724067.3754,4903059.268
PTBO0131,0,23,48.8,31.4,19.8,2.56,7.25,1,723665.2151,4903225.345
PTBO0131,23,45,35.1,44.1,20.8,0.557,7.37,2,723665.2151,4903225.345
PTBO0131,45,100,56.4,32.1,11.5,0.048,7.56,3,723665.2151,4903225.345
PTBO0134,0,68,0,0,0,29.4,7.07,1,723383.8666,4903426.257
